window_size,iteration,fold,accuracy,precision,recall
1.0,0.0,0.0,0.9996440459297115,0.08571428571428572,0.002577319587628866
1.0,0.0,1.0,0.9996587704472801,1.0,0.0008865248226950354
1.0,0.0,2.0,0.9996299231176606,0.0,0.0
1.0,1.0,0.0,0.9996461345118506,0.041666666666666664,0.000859106529209622
1.0,1.0,1.0,0.9996587704472801,1.0,0.0008865248226950354
1.0,1.0,2.0,0.9996235789425347,0.08,0.0016326530612244899
1.0,2.0,0.0,0.9996431508230804,0.029411764705882353,0.000859106529209622
1.0,2.0,1.0,0.9996590732241681,1.0,0.0017730496453900709
1.0,2.0,2.0,0.9996278083926187,0.18181818181818182,0.0016326530612244899
1.0,3.0,0.0,0.9996401671343101,0.09615384615384616,0.00429553264604811
1.0,3.0,1.0,0.9996584676703922,0.0,0.0
1.0,3.0,2.0,0.9996299231176606,0.0,0.0
1.0,4.0,0.0,0.9996479247251128,0.1,0.001718213058419244
1.0,4.0,1.0,0.9996584676703922,0.0,0.0
1.0,4.0,2.0,0.9996299231176606,0.0,0.0
1.0,5.0,0.0,0.9996464328807276,0.043478260869565216,0.000859106529209622
1.0,5.0,1.0,0.9996578621166163,0.25,0.0008865248226950354
1.0,5.0,2.0,0.9996299231176606,0.0,0.0
1.0,6.0,0.0,0.9996485214628668,0.0625,0.000859106529209622
1.0,6.0,1.0,0.9996581648935042,0.0,0.0
1.0,6.0,2.0,0.999630225221238,1.0,0.0008163265306122449
1.0,7.0,0.0,0.9996422557164493,0.05128205128205128,0.001718213058419244
1.0,7.0,1.0,0.9996584676703922,0.0,0.0
1.0,7.0,2.0,0.9996299231176606,0.0,0.0
1.0,8.0,0.0,0.9996458361429736,0.0,0.0
1.0,8.0,1.0,0.9996584676703922,0.5,0.0008865248226950354
1.0,8.0,2.0,0.9996299231176606,0.0,0.0
1.0,9.0,0.0,0.9996470296184817,0.047619047619047616,0.000859106529209622
1.0,9.0,1.0,0.9996560454552886,0.16666666666666666,0.0017730496453900709
1.0,9.0,2.0,0.9996299231176606,0.0,0.0
1.0,10.0,0.0,0.9996446426674656,0.034482758620689655,0.000859106529209622
1.0,10.0,1.0,0.9996584676703922,0.0,0.0
1.0,10.0,2.0,0.9996299231176606,0.0,0.0
1.0,11.0,0.0,0.9996473279873587,0.05,0.000859106529209622
1.0,11.0,1.0,0.9996584676703922,0.0,0.0
1.0,11.0,2.0,0.9996235789425347,0.0,0.0
1.0,12.0,0.0,0.9996449410363425,0.03571428571428571,0.000859106529209622
1.0,12.0,1.0,0.9996584676703922,0.0,0.0
1.0,12.0,2.0,0.9996250894604218,0.1,0.0016326530612244899
1.0,13.0,0.0,0.9996449410363425,0.09375,0.002577319587628866
1.0,13.0,1.0,0.9996587704472801,1.0,0.0008865248226950354
1.0,13.0,2.0,0.999628110496196,0.0,0.0
1.0,14.0,0.0,0.9996526986271451,0.5,0.000859106529209622
1.0,14.0,1.0,0.9996572565628404,0.0,0.0
1.0,14.0,2.0,0.9996299231176606,0.0,0.0
1.0,15.0,0.0,0.9996458361429736,0.07407407407407407,0.001718213058419244
1.0,15.0,1.0,0.9996584676703922,0.0,0.0
1.0,15.0,2.0,0.9996284125997735,0.0,0.0
1.0,16.0,0.0,0.9996446426674656,0.0,0.0
1.0,16.0,1.0,0.9996587704472801,0.6666666666666666,0.0017730496453900709
1.0,16.0,2.0,0.9996284125997735,0.0,0.0
1.0,17.0,0.0,0.9996458361429736,0.12903225806451613,0.003436426116838488
1.0,17.0,1.0,0.9996584676703922,0.0,0.0
1.0,17.0,2.0,0.9996299231176606,0.0,0.0
1.0,18.0,0.0,0.9996473279873587,0.05,0.000859106529209622
1.0,18.0,1.0,0.9996572565628404,0.25,0.0017730496453900709
1.0,18.0,2.0,0.999618745285296,0.04878048780487805,0.0016326530612244899
1.0,19.0,0.0,0.9996446426674656,0.034482758620689655,0.000859106529209622
1.0,19.0,1.0,0.9996584676703922,0.0,0.0
1.0,19.0,2.0,0.999628110496196,0.2,0.0016326530612244899
1.0,20.0,0.0,0.9996470296184817,0.047619047619047616,0.000859106529209622
1.0,20.0,1.0,0.9996584676703922,0.0,0.0
1.0,20.0,2.0,0.9996287147033509,0.25,0.0016326530612244899
1.0,21.0,0.0,0.9996458361429736,0.04,0.000859106529209622
1.0,21.0,1.0,0.9996587704472801,1.0,0.0008865248226950354
1.0,21.0,2.0,0.9996250894604218,0.1,0.0016326530612244899
1.0,22.0,0.0,0.9996494165694979,0.07692307692307693,0.000859106529209622
1.0,22.0,1.0,0.9996584676703922,0.0,0.0
1.0,22.0,2.0,0.9996299231176606,0.5,0.0008163265306122449
1.0,23.0,0.0,0.9996458361429736,0.04,0.000859106529209622
1.0,23.0,1.0,0.9996584676703922,0.0,0.0
1.0,23.0,2.0,0.9996290168069283,0.2857142857142857,0.0016326530612244899
1.0,24.0,0.0,0.9996470296184817,0.08695652173913043,0.001718213058419244
1.0,24.0,1.0,0.9996560454552886,0.16666666666666666,0.0017730496453900709
1.0,24.0,2.0,0.9996299231176606,0.0,0.0
1.0,25.0,0.0,0.9996470296184817,0.08695652173913043,0.001718213058419244
1.0,25.0,1.0,0.9996584676703922,0.0,0.0
1.0,25.0,2.0,0.9996238810461122,0.08333333333333333,0.0016326530612244899
1.0,26.0,0.0,0.999650610045006,0.1111111111111111,0.000859106529209622
1.0,26.0,1.0,0.9996584676703922,0.0,0.0
1.0,26.0,2.0,0.999630225221238,1.0,0.0008163265306122449
1.0,27.0,0.0,0.9996458361429736,0.07407407407407407,0.001718213058419244
1.0,27.0,1.0,0.9996590732241681,1.0,0.0017730496453900709
1.0,27.0,2.0,0.9996299231176606,0.0,0.0
1.0,28.0,0.0,0.9996485214628668,0.1111111111111111,0.001718213058419244
1.0,28.0,1.0,0.9996584676703922,0.0,0.0
1.0,28.0,2.0,0.9996296210140831,0.0,0.0
1.0,29.0,0.0,0.9996410622409412,0.06666666666666667,0.002577319587628866
1.0,29.0,1.0,0.9996560454552886,0.16666666666666666,0.0017730496453900709
1.0,29.0,2.0,0.9996299231176606,0.0,0.0
1.0,30.0,0.0,0.9996449410363425,0.09375,0.002577319587628866
1.0,30.0,1.0,0.9996584676703922,0.0,0.0
1.0,30.0,2.0,0.999630225221238,0.6666666666666666,0.0016326530612244899
1.0,31.0,0.0,0.9996464328807276,0.0,0.0
1.0,31.0,1.0,0.9996575593397283,0.0,0.0
1.0,31.0,2.0,0.9996275062890412,0.16666666666666666,0.0016326530612244899
1.0,32.0,0.0,0.999650610045006,0.0,0.0
1.0,32.0,1.0,0.9996584676703922,0.0,0.0
1.0,32.0,2.0,0.9996299231176606,0.0,0.0
1.0,33.0,0.0,0.999651505151637,0.16666666666666666,0.000859106529209622
1.0,33.0,1.0,0.9996584676703922,0.0,0.0
1.0,33.0,2.0,0.9996299231176606,0.0,0.0
1.0,34.0,0.0,0.9996485214628668,0.0625,0.000859106529209622
1.0,34.0,1.0,0.9996584676703922,0.0,0.0
1.0,34.0,2.0,0.9996275062890412,0.16666666666666666,0.0016326530612244899
1.0,35.0,0.0,0.9996401671343101,0.022727272727272728,0.000859106529209622
1.0,35.0,1.0,0.9996584676703922,0.0,0.0
1.0,35.0,2.0,0.999630225221238,0.6666666666666666,0.0016326530612244899
1.0,36.0,0.0,0.9996437475608344,0.058823529411764705,0.001718213058419244
1.0,36.0,1.0,0.9996584676703922,0.0,0.0
1.0,36.0,2.0,0.9996299231176606,0.0,0.0
1.0,37.0,0.0,0.9996440459297115,0.1282051282051282,0.00429553264604811
1.0,37.0,1.0,0.9996584676703922,0.0,0.0
1.0,37.0,2.0,0.9996278083926187,0.0,0.0
1.0,38.0,0.0,0.9996455377740966,0.07142857142857142,0.001718213058419244
1.0,38.0,1.0,0.9996584676703922,0.5,0.0008865248226950354
